Model,MAE,MSE,RMSE,R2
ARIMA,23.02460826181335,1592.6428832693305,26.032651124065588,-2.540242588047582
RandomForest,0.3642808143433682,0.2794273779751642,0.5286089083388249,0.9998246318605473
RandomForest w/ RFE,0.3547482090634838,0.26735611870393367,0.5170649076314633,0.9998322077620019
XGBoost,0.3328390556183296,0.2152609748778267,0.4639622558763015,0.9998649025842254
XGBoost w/RFE,0.33824727351848893,0.2297446007349419,0.47931680623043244,0.9998558126856711
LightGBM,0.3270861400950313,0.20510256544353633,0.45288250732782376,0.9998712779844285
LightGBM w/RFE,0.3272226541989408,0.2063458017891981,0.4542530151679767,0.9998704977314469
Tuned XGBoost,0.41665062456049473,0.32212563642959074,0.5675611301257255,0.9997978345073413
Tuned LightGBM,0.3350834349599188,0.2124619050835435,0.4609359012742916,0.9998666592755904
