Model,MAE,MSE,RMSE,R2
ARIMA,112.43217668024475,14207.255078412436,119.19419062358885,-8.069758866863504
SARIMA,125.92525842123725,17506.84922217935,132.313450647239,-10.176184286644515
RandomForest,1.691575327433512,4.827843480350864,2.197235417598866,0.9969179566375017
RandomForest w/ RFE,1.7510059001379825,5.165713916251309,2.272820696018784,0.9967022637844526
XGBoost,1.263471198211139,2.7820193402311197,1.6679386500201738,0.9982239887691475
LightGBM,1.2932823122206203,2.9115904650299047,1.7063383207998069,0.998141271956396
Tuned XGBoost,1.4528607248002252,3.739005437469359,1.9336508054634267,0.9976130591354506
