Model,MAE,MSE,RMSE,R2
ARIMA,23.02460826181335,1592.6428832693305,26.032651124065588,-2.540242588047582
RandomForest,0.3642808143433682,0.2794273779751642,0.5286089083388249,0.9998246318605473
RandomForest w/ RFE,0.3547482090634838,0.26735611870393367,0.5170649076314633,0.9998322077620019
XGBoost,0.3328390556183296,0.2152609748778267,0.4639622558763015,0.9998649025842254
XGBoost w/RFE,0.33824727351848893,0.2297446007349419,0.47931680623043244,0.9998558126856711
LightGBM,0.3270861400950313,0.20510256544353633,0.45288250732782376,0.9998712779844285
LightGBM w/RFE,0.34372126502266936,0.22573875711930644,0.475119729246541,0.9998583267462006
