Model,MAE,MSE,RMSE,R2
ARIMA,23.02460826181335,1592.6428832693305,26.032651124065588,-2.540242588047582
RandomForest,0.3642808143433682,0.2794273779751642,0.5286089083388249,0.9998246318605473
RandomForest w/ RFE,0.3547482090634838,0.26735611870393367,0.5170649076314633,0.9998322077620019
XGBoost,0.4086473943161489,0.3108525453870062,0.5575415189804309,0.9998049094797952
XGBoost w/RFE,0.39973319792679574,0.2981237873344052,0.546007131212043,0.9998128980263484
LightGBM,0.38085454920462236,0.31206688885988504,0.5586294736763224,0.9998041473599304
