Model,MAE,MSE,RMSE,R2
ARIMA,23.02460826181335,1592.6428832693305,26.032651124065588,-2.540242588047582
RandomForest,0.3642808143433682,0.2794273779751642,0.5286089083388249,0.9998246318605473
