Model,MAE,MSE,RMSE,R2
ARIMA,112.43217668024475,14207.255078412436,119.19419062358885,-8.069758866863504
SARIMA,125.92525842123725,17506.84922217935,132.313450647239,-10.176184286644515
RandomForest,1.691575327433512,4.827843480350864,2.197235417598866,0.9969179566375017
RandomForest w/ RFE,1.7510059001379825,5.165713916251309,2.272820696018784,0.9967022637844526
