Model,MAE,MSE,RMSE,R2
ARIMA,23.02460826181335,1592.6428832693305,26.032651124065588,-2.540242588047582
RandomForest,0.3642808143433682,0.2794273779751642,0.5286089083388249,0.9998246318605472
RandomForest w/ RFE,0.3547482090634838,0.2673561187039336,0.5170649076314633,0.999832207762002
XGBoost,0.3328390556183296,0.2152609748778267,0.4639622558763015,0.9998649025842254
XGBoost w/RFE,0.3382472735184889,0.2297446007349419,0.4793168062304324,0.9998558126856713
LightGBM,0.3270861400950313,0.2051025654435363,0.4528825073278237,0.9998712779844284
LightGBM w/RFE,0.3272226541989408,0.2063458017891981,0.4542530151679767,0.9998704977314468
GRU,8.373223530012986,331.5119396222152,18.20746933602293,0.7923238165836536
